1,34,Rockin' Night,2022-09-15,500,TRUE,Passé
2,17,Summer Beats,2022-07-22,800,TRUE,Passé
3,46,Electric Fusion,2023-04-08,350,TRUE,Future
4,9,Harmony Fest,2022-08-03,1200,FALSE,Passé
5,5,Jazz Under the Stars,2023-06-19,250,TRUE,Future
6,22,Rhythmic Revival,2023-01-12,400,TRUE,Passé
7,61,Folklore Tales,2022-10-28,600,TRUE,Passé
8,3,World Music Celebration,2023-03-05,900,TRUE,Future
9,88,The Groove Experience,2022-12-01,350,TRUE,Future
10,71,Enchanting Melodies,2022-11-09,200,TRUE,Future
11,37,Rock Legends Reunion,2022-09-28,800,TRUE,Passé
12,58,Acoustic Serenade,2022-07-17,400,TRUE,Passé
13,50,Club Night Fever,2023-05-02,600,TRUE,Future
14,68,Indie Vibes,2023-02-24,300,TRUE,Passé
15,72,Classical Harmony,2022-10-15,500,TRUE,Passé
16,15,Pop Mania,2023-04-16,1200,FALSE,Future
17,35,Soulful Jams,2022-08-09,250,TRUE,Passé
18,42,EDM Fusion,2023-06-25,400,TRUE,Future
19,56,Reggae Rhythms,2023-01-30,600,TRUE,Future
20,21,Summer Soirée,2022-09-07,900,TRUE,Passé
21,79,Latin Fiesta,2022-07-01,350,TRUE,Future
22,94,Rock Rebellion,2023-03-12,200,TRUE,Future
23,89,Jazz Euphoria,2022-12-08,800,TRUE,Passé
24,65,Funkadelic Groove,2022-11-17,400,TRUE,Passé
25,40,Blues & Brews,2022-09-23,600,TRUE,Future
26,69,Alternative Soundscapes,2022-07-29,300,TRUE,Future
27,30,Enchanted Evening,2023-05-14,500,TRUE,Passé
28,67,Dynamic Beats,2022-08-19,1200,FALSE,Passé
29,84,Urban Fusion,2023-04-22,250,TRUE,Future
30,77,Acoustic Delights,2023-02-17,400,TRUE,Passé
31,86,Classical Reflections,2022-10-04,600,TRUE,Passé
32,76,Disco Fever,2022-11-30,900,TRUE,Future
33,25,Folk Jamboree,2022-09-14,350,TRUE,Future
34,43,Summer Swing,2023-06-17,200,TRUE,Future
35,48,Jazz Fusion,2022-07-21,800,TRUE,Passé
36,63,Rockin' Reggae,2022-08-01,400,TRUE,Passé
37,90,Electro Beats,2023-03-03,600,TRUE,Future
38,92,Pop Extravaganza,2022-11-24,300,TRUE,Passé
39,27,Symphonic Serenade,2022-10-13,500,TRUE,Passé
40,53,Smooth Soul,2023-04-12,1200,FALSE,Future
41,81,Indie Showcase,2022-08-07,250,TRUE,Passé
42,18,EDM Ecstasy,2023-06-21,400,TRUE,Future
43,99,Rhythmic Journeys,2023-01-26,600,TRUE,Future
44,32,Summer Groove,2022-09-03,900,TRUE,Passé
45,51,World Beats,2022-07-27,350,TRUE,Future
46,74,Harmonious Duet,2023-02-09,200,TRUE,Future
47,93,Soulful Reflections,2022-12-06,800,TRUE,Passé
48,24,Reggae Revival,2022-11-15,400,TRUE,Passé
49,45,Blissful Melodies,2022-09-19,600,TRUE,Future
50,66,Funk Fusion,2022-07-25,300,TRUE,Future
51,29,Sunset Serenade,2023-05-12,500,TRUE,Passé
52,60,Pop Perfection,2022-08-17,1200,FALSE,Passé
53,16,EDM Euphoria,2023-04-20,250,TRUE,Future
